Date,Personnes décédées (cumul),Personnes en réanimation,Personnes hospitalisées
2020-09-14,28,0,4
2020-09-15,28,0,4
2020-09-16,28,0,5
2020-09-17,28,0,6
2020-09-18,28,0,6
2020-09-19,28,0,7
2020-09-20,28,0,7
2020-09-21,28,0,7
2020-09-22,28,0,6
2020-09-23,28,0,4
2020-09-24,28,0,4
2020-09-25,28,1,1
2020-09-26,28,1,1
2020-09-27,28,1,1
2020-09-28,28,1,1
2020-09-29,28,0,5
2020-09-30,28,1,3
2020-10-01,28,1,4
2020-10-02,28,1,7
2020-10-03,28,2,6
2020-10-04,28,2,6
2020-10-05,28,2,6
2020-10-06,28,2,6
2020-10-07,28,2,7
2020-10-08,28,2,7
2020-10-09,28,2,8
2020-10-10,28,2,8
2020-10-11,29,3,9
2020-10-12,29,3,9
2020-10-13,29,3,11
2020-10-14,29,3,13
2020-10-16,29,3,13
2020-10-17,29,3,12
2020-10-18,29,4,14
