Date,Personnes décédées (cumul),Personnes en réanimation,Personnes hospitalisées
2020-07-08,77,0,15
2020-07-09,77,0,15
2020-07-10,77,0,15
2020-07-11,77,0,15
2020-07-12,77,0,15
2020-07-13,77,0,15
2020-07-14,77,0,15
2020-07-15,77,0,15
2020-07-16,77,0,15
2020-07-17,77,0,15
2020-07-18,77,0,15
2020-07-19,77,0,15
2020-07-20,77,0,14
2020-07-21,77,0,14
2020-07-22,77,0,14
2020-07-23,77,0,3
2020-07-24,77,0,1
2020-07-25,77,0,0
2020-07-26,77,0,0
2020-07-27,77,0,0
2020-07-28,77,0,0
2020-07-29,77,0,0
2020-07-30,77,0,0
2020-07-31,77,0,0
2020-08-01,77,0,0
2020-08-02,77,0,0
2020-08-03,77,0,0
2020-08-04,77,0,0
2020-08-05,77,0,0
2020-08-06,77,0,0
2020-08-07,77,0,0
2020-08-08,77,0,0
2020-08-09,77,0,0
2020-08-10,77,0,0
2020-08-11,77,0,0
2020-08-12,77,0,0
2020-08-13,77,0,0
2020-08-14,77,0,0
2020-08-15,77,0,0
2020-08-16,77,0,0
2020-08-17,77,0,0
2020-08-18,77,0,0
2020-08-19,77,0,0
2020-08-20,77,0,0
2020-08-21,77,0,0
2020-08-22,77,0,0
2020-08-23,77,0,0
2020-08-24,77,0,0
2020-08-25,77,0,0
2020-08-27,77,0,0
2020-08-26,77,0,0
2020-08-28,77,0,0
2020-08-29,77,0,0
2020-08-30,77,0,0
2020-08-31,77,0,0
2020-09-01,77,0,0
2020-09-02,77,0,0
2020-09-03,77,0,0
2020-09-04,77,0,0
2020-09-05,77,0,2
2020-09-06,77,0,2
2020-09-07,77,0,2
2020-09-08,77,0,2
2020-09-09,77,0,2
2020-09-10,77,0,2
2020-09-11,77,0,2
2020-09-12,77,0,2
2020-09-13,77,0,2
2020-09-14,77,0,2
2020-09-15,77,0,2
2020-09-16,77,0,2
2020-09-17,77,0,2
2020-09-18,77,0,2
2020-09-19,77,0,2
2020-09-20,77,0,2
2020-09-21,77,0,2
2020-09-22,77,0,2
2020-09-23,77,0,2
2020-09-24,77,0,2
2020-09-25,77,0,2
2020-09-26,77,0,2
2020-09-27,77,0,2
2020-09-28,77,0,0
2020-09-29,77,0,1
2020-09-30,77,0,1
2020-10-01,77,0,1
2020-10-02,77,0,2
2020-10-03,77,0,2
2020-10-04,77,0,2
2020-10-05,77,0,2
2020-10-06,77,0,6
2020-10-07,77,0,7
2020-10-08,77,0,5
2020-10-09,78,1,4
2020-10-10,78,1,6
2020-10-11,78,1,6
2020-10-12,78,1,9
2020-10-13,78,1,10
2020-10-14,78,1,15
2020-10-16,79,1,24
2020-10-17,79,1,23
2020-10-18,79,1,22
